GEF ID,List of project's focal areas,GEF Phase,Title,Project start date,Open-Ended Response,TE,PIR,Mid-term evaluation,CEO-endorsed/approved document,Open-Ended Response,Countries,Administrative regions/ counties/ provinces,Municipalities/ cities/ towns,Ecosystems/ ecological units/ sites at intervention level,Response,Please provide the document/s and page number/s where these maps or images can be found.,Response,Please include any notes or comments you may have on the availability of project location information in the documents.,Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Response,Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Response,Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Village/ Site/ Smallest Geographical Unit of Intervention,Ecological Unit Name (if applicable; inc. target biome/ ecosystem if specified),"Type of ecological unit or intervention site (e.g. forest, mountain, wetland, watershed, corridor, protected area; include all available details)",Province/ State/ County/ District (include all available names),Municipality/ City,Country,Specific interventions at site,"Other location details/ comments (e.g. coordinates, WDPA ID)",Response
4583,M;B;C;L;,GEF - 5,Sustainable Land Management and Climate-Friendly Agriculture,,"The majority of project activity will take place at pilot project sites within the Konya Closed Basin or KCB.    Pilot Site One: Ayrancı-Karaman    Pilot Site Two: Green Belt    Pilot Site Three: Karapınar, Ereğli, Emirgazi    Pilot Site Four: Sarayönü-Cihanbeyli    PD (p.9-13) ",,,,CEO-endorsed/approved document,project pilot sites-sustainable land management; sustainable forest management; climate smart agriculture; integrated ecosystem management ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4584,M;B;L;,GEF - 5,Improving Sustainability of PA System in Desert Ecosystems through Promotion of Biodiversity-compatible Livelihoods in and around PAs,,"PD, p.13:  The project will be focusing on regions of Ile Balkhash, Ustyurt and Aral-Syrdarya desert and semi-desert ecosystems.",,,,CEO-endorsed/approved document,registered land users and low-income households around target PAs- sustainable financing; sustainable livelihood ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4590,M;B;L;M;,GEF - 5,Delivering Multiple Global Environment Benefits through Sustainable Management of Production Landscapes,,Yoro  Choluteca and Valle,,,,CEO-endorsed/approved document,Farm- SLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4616,M;C;L;,GEF - 5,Climate Change Adaptation to Reduce Land Degradation in Fragile Micro-Watersheds Located in the Municipalities of Texistepeque and Candelaria de la Frontera,,The project will be implemented in the fragile Micro-Watersheds located in the Municipalities of Texistepeque and Candelaria de la Frontera,,,,CEO-endorsed/approved document,households within the project area- integrated natural resource management; sustainable land management; sustainable livelihood ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4625,M;B;C;L;M;,GEF - 5,Shire Natural Ecosystems Management Project,9/7/2012,"(copy-paste from PAD pg. x)    - Blantyre District: Selected catchments in the escarpment area upstream of Kapichira hydropower plant  - Chikhwawa District: Flood-prone villages, Elephant Marshes and Lengwe National Park  - Machinga District: Kamuzu Barage, Liwonde National Park, and part of the selected Chingale catchment (see Zomba)  - Mangochi District: Liwonde National Park and Mangochi Forest Reserve  - Neno District: Selected Wamkulumadzi catchments, Tsamba and Eastern Escarpment Forest Reserves, upstream of Kapichira hydropower plant  - Ntcheu District: Selected Lisungwe catchments upstream of Kapichira hydropower plant  - Nsanje District: Flood-prone villages and Elephant Marshes  - Zomba District: Selected Chingale catchments upstream of three hydropower plants and Blantyre water intake",,,,CEO-endorsed/approved document,protected area - sustainable financing; shire river - physical flood mitigation infrastructure; forest reserves - SFM,Malawi,Blantyre District; Chikhwawa District; Machinga District; Mangochi District; Neno District; Ntcheu District; Nsanje District; Zomba District,,lephant Marshes; Lengwe National Park; Kamuzu Barage; Liwonde National Park; Chingale catchment; Liwonde National Park; Mangochi Forest Reserve; Wamkulumadzi catchments; Tsamba and Eastern Escarpment Forest Reserves; Lisungwe catchments,Yes,"PAD, Annex 11, pages A114-115",Coordinates provided or may be Googled using site name (intervention boundaries are smaller than site but large enough or enough replications to link environmental changes in the site to the intervention),"SLM activities in the catchment ares specified above were not funded by the GEF. From the project document, it appears that some management planning activities were also scheduled to take place in these catchment areas (funded by the GEF) but specific locations were not provided.",Elephant Marshes,,Marsh,Chikhwawa District; Nsanje District,,Malawi,flood management and adaptation strategy & pilot community co-management activities,,Kamuzu Barrage,,Dam,Machinga District,,Malawi,upgrading of the Kamuzu Barrage for improved regulation of flows in the Shire River,,Mangochi Forest Reserve,,Forest Reserve,Mangochi District,,Malawi,"Commuity-based mangement systems; strengthen planning, zoning, patrolling and monitoring",,Yes,Eastern Escarpment and Tsamba Forest Reserves,,Forest Reserves,Neno District,,Malawi,community forest co-management,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4631,M;B;L;M;,GEF - 5,Watershed Approach to Sustainable Coffee Production in Burundi ,,Bururi Forest Nature Reserve (PA management; ecotourism)  Bubanza Province and Muyinga Province (agritourism and ecotourism),,,,CEO-endorsed/approved document,PA - agritourism and ecotourism; PA - sustainable management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4632,M;B;L;,GEF - 5,Biodiversity Conservation and Sustainable Land Management in the Soda Saline-alkaline Wetlands Agro Pastoral Landscapes in the Western Area of the Jilin Province,,"The project was implemented in the Songyuan and Baicheng prefectures, Jilin Province, China    Under the Songyuan and Baicheng prefectures, there are a number of pilot sites: PD, p.45    Qianguo, Qian’an, South Da’an counties    Dakouzi, Xinmiao, Hua’ao    ",,,,CEO-endorsed/approved document,"pilot site- Sustainable Land and Water Management/Integrated Land, Natural Resource, Water Management ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4634,M;B;C;L;,GEF - 5,"Conserving, Enhancing and Managing Carbon Stocks and Biodiversity in the Chernobyl Exclusion Zone",,"The project will be implemented in the Chernobyl Exclusion Zone, Ukraine ",,,,CEO-endorsed/approved document,Chernobyl Exclusion Zone-biodiversity conservation; sustainable forest management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4639,M;B;C;L;M;,GEF - 5,Strengthening Management Effectiveness and Generating Multiple Environmental Benefits within and around the Greater Kafue National Park in Zambia,,"West Lunga and Kafue National Parks: PA management    Buffer GMAs in Kafue National Parks:  -Mufunta,  -Namwala,   -Mumbwa,  -Kasonso-Busanga,  -Lunga-Luswish     Buffer GMAs in West Lunga:  -Lukwawa  -Chibwika-Ntambu  -Muselo Matebo  ",,,,CEO-endorsed/approved document,GMAs - fire protection; GMAs: conservation agriculture; GMAs - SFM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4642,M;C;L;,GEF - 5,Sustainable Agriculture and Climate Change Mitigation Project,,"The Project Area will cover the following regions/oblasts: Andijan, Bukhara, Jizzak, Kashkadarya, Samarkan, Syrdarya, Tashkent and Fergana. (PD, p.14)",,,,CEO-endorsed/approved document,project area-sustainable land management/renewable energy technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4644,M;C;L;M;,GEF - 5,Addressing Barriers to the Adoption of Improved Charcoal Production Technologies and Sustainable Land Management Practices through an Integrated Approach,,"This project will be implemented in the Mubende, Nakaseke, Kiboga and Kiryandongo districts. (PD, p.13)",,,,CEO-endorsed/approved document,woodlot owners and households within the project pilot area-sustainable land management; sustainable forest management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4645,M;B;C;L;M;,GEF - 5,Hwange-Sanyati Biological Corridor (HSBC) Project ,,-Hwange National Park  -Hwange-Sanyati Biological Corridor (Hwange and Tsholotsho Districts): PA management and community livelihoods  -Sikumi and Ngamo Forest Reserves (adjacent to the HNP): improved forestry management  -Gwayi and Sanyati catchments: land rehabilitation,,,,CEO-endorsed/approved document,PA - management; PA - community livelihoods; forest reserves - management; catchments - rehabilitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4650,M;B;C;L;M;,GEF - 5,GMS-FBP: Strengthening Protection and Management Effectiveness for Wildlife and Protected Areas,,"The project will be implemented in Lao People's Democratic Republic, in a number of project sites in the following provinces:    Khammouanne Province    Boulikhamxay Province    Houaphan Province    ",,,,CEO-endorsed/approved document,project site-sustainable forest management/wildlife management and conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4652,M;C;M;,GEF - 5,GMS Forest and Biodiversity Program (GMS-FBP) -  Creating Transboundary Links Through a Regional Support ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4669,M;B;L;,GEF - 5,Namibian Coast Conservation and Management Project ,1/29/2013,The Namib-Skeleton Coast National Park  The Dorob National Park  The Namibian Islands’ Marine Protected Area (NIMPA),,,,CEO-endorsed/approved document,PA - SLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4717,M;B;L;,GEF - 5,Expansion and Strengthening of the Protected Area Subsystem of the Outer Islands of Seychelles and its Integration into the Broader Land and Seascape,,Alphonse (Island Group)  Desroches (Island Group)  Poivre (Island Group)  Farquhar Atoll (Island Group)  D'Arros & St. Joseph (Island Group),,,,CEO-endorsed/approved document,PA - management; PA - restoration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4732,M;B;L;M;,GEF - 5,Improving Connectivity in the Central Forest Spine (CFS) Landscape  - IC-CFS,,The project will be implemented in three forest landscapes (project site) in Malaysia:    1. Belum-Temengor 2.Endau- Rompin 3. Greater Taman Negara      Some project activities will involve the local communities living in the three forest landscapes as indicated above.,,,,CEO-endorsed/approved document,forest landscapes (project site)- sustainable forest management/biodiversity conservation/integrated forest landscape management/ payment for ecosystem service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4744,M;B;L;M;,GEF - 5,"Mainstreaming Biodiversity Conservation, SFM and Carbon Sink Enhancement Into Mongolia's Productive Forest Landscapes",,"16 Forest User Groups (FUGs): Uguuj Buren, Monostoi, Dundat and Bukht (all in Bulgan Aimag); Urmugtkhairkhan in Darkhan Uul aimag; Amarlingui, Buural Sansar,  Galtain Gol, Delger Onon and Seruunbayalag (all Khentii aimag); Badar, Taliin Tolgoi and Urt Bulag (all Khuvsgul aimag); and Altansumber, Dalt, Khargistain (all in Selenge aimag) ",,,,CEO-endorsed/approved document,FUG--participatory forest management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4750,M;B;C;L;M;,GEF - 5,Multiplying Environmental and Carbon Benefits in High Andean Ecosystems ,,SLM/SFM Sites:  Ecuador: Carchi; Pichincha; Tungurahua   Peru: Piura; Huancavelica,,,,CEO-endorsed/approved document,intervention sites - SFM/SLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4761,M;C;L;M;,GEF - 5,Sustainable Management of Mountainous Forest and Land Resources under Climate Change Conditions ,,"The project will be implemented in a number of pilot sites (Obalts): (PD, p.97, Annex 8)    1. Naryn 2. Jalalabat 3.Chui 4.Talas 5.Issyk-Kul 6.Osh 7. Batken          ",,,,CEO-endorsed/approved document,"project pilot area- sustainable land management; sustainable forest management; integrated land, forest management ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4772,M;B;L;M;,GEF - 5,Conservation and Sustainable Use of Biodiversity in Dry Ecosystems to Guarantee the Flow of Ecosystem Services and to Mitigate the Processes of Deforestation and Desertification,,"The CEO-endorsed document didn't single out a paragraph describing the geographical location of the project. But it mentioned the name of a number of regional governments who manage the regions where project activities will be implemented: (PIF, p.1)       Regional Autonomous Corporation of Tolima (Cortolima); Regional Autonomous Corporation of Alto Magdalena (CAM); Regional Autonomous Corporation of Atlántico (CRA); Regional Autonomous Corporation of Sur de Bolívar (CSB); Regional Autonomous Corporation of Valle del Sinú (CVS); Regional Autonomous Corporation of La Guajira (CORPOGUAJIRA).    The highest level of intervention are the communities within these project regions. ",,,,CEO-endorsed/approved document,communities within the project regions: Sustainable Forest Management/Sustainable Land Management ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4774,M;B;L;M;,GEF - 5,"Conservation and Sustainable Use of Biodiversity, Forests, Soil and Water to Achieve the Good Living (Buen Vivir / Sumac Kasay) in the Napo Province",,"Refer to PD Appendix 7 (p.158) for map of project intervention areas.    The country is politically divided into 24 provinces, one of which, the Province of Napo, constitutes the Project’s intervention area. The Province of Napo has a population of 103,697 inhabitants, 56% of which is rural (57,859 inhabitants). The levels of poverty in the province are high; 77.1% of the population is poor, while 42.8% is extremely poor. Agricultural activities and extraction of timber are the only source of income in rural areas and at the same time, they are the key factors that jeopardize the conservation of biodiversity and ecosystem functions.    The intervention areas are located in the buffer zones of the protected areas of the province. The vision is to establish biological corridors by implementing conservation activities in community and private properties (Appendix 7). Sustainable livestock production practices will be fostered in the highlands of the province, while in the lowlands the project will seek to strengthen the cocoa sustainable production corridor, and the commercialization of biodiversity products. Best production practices of clean naranjilla will be promoted in the area between the two sectors of the Sumaco Napo Galeras National Park. Sustainable community-based ecotourism will be promoted in these same areas. These actions are expected to provide rural communities with opportunities for income generation, hence reducing their poverty and at the same time conserving and recovering the ecosystem services of local, national and global significance. The proposed solutions for the province are potentially replicable in other Amazonian provinces and the Andean-Amazonian pre-montane areas of Ecuador. ",,,,CEO-endorsed/approved document,buffer zones (of Napo province's protected areas) -sustainable land management; protective forest - sustainable forest management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4775,M;C;L;,GEF - 5,Promotion of Climate-smart Livestock Management Integrating Reversion of Land Degradation and Reduction of Desertification Risks in Vulnerable Provinces,,CLIMATE-SMART LIVESTOCK INTERVENTION SITES  Parishes:  -Purunuma  -Changaimina  -Buenos Aires   -San Francisco  -Carolina  -Chanduy  -Colonche  -Eloy Alfaro  -El Convento  -La Morena  -Papallacta  -Cosanga  -Chaco  -Baeza  -Arosemena Tola  -Ila  -Bedoya  -El Rosario  -Chigunda  -Indanza  -San Miguel de Conchai  -Yundanza  -Logroño  -Tayuza  -Chiniguimi  -Cuchaenza  -Macas    Municipalities (no parish specified):  -Santa Lucia  -Isidro Ayora,,,,CEO-endorsed/approved document,farm/ranch - CSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4779,M;C;L;M;,GEF - 5,Sustainable Forest and Landscape Management ,,"Sub-component 1.1 Forest certification efforts will be targeted  priority cantons.   (Zenica-Doboj, Bosnia-Drina)   ",,,,CEO-endorsed/approved document,canton-forest certification; state forest-SFM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4792,M;B;C;L;M;,GEF - 5,Conservation of Coastal Watersheds to Achieve Multiple Global Environmental Benefits in the Context of Changing Environments,,not specified,,PIR,,CEO-endorsed/approved document,watershed - SFM; watershed - PES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4800,M;B;C;M;,GEF - 5,Sustainable Forest Management under the Authority of Cameroonian Councils,,"PD p.15-23  classified council forests targeted by the project  Djoum; Messondo; Dimako;Yokadouma;Moloundou;Gari-Gombo;Nanga Eboko;Dzeng;Mindourou/Messamena; Minta;Akom II/Efoulan;Mvangan;Yoko;Lomié;Ndikiniméki;SIKOP (Ndom, Nyanon, Ngambé);Oveng;  List of council reforestation areas targeted by the project  Amchidéré; Gaspala et Ziam;Makary;Mayel Ibbé;Mayo Ferngo;Sabakalé;Zamay;Zébé;Mayo Oulo  List of forest reserves transferred to the councils and targeted by the project  Mbalmayo; Deng Deng; Bois de Boulogne; Kalfou; Laf  Madiam; Mayo Louti; Mogodé; Melong; Muyuka Kompina;Lam;Bambui;Nkom Wum;Balengou;Baloum;Baloungou;Bamendjing;Bamendou;Bangou;Bapouh Bana;Chègne Baham;Collines de Foréké;Kouabang;Moa;Mongoué Nkam;Mou;Mgambouo;Signal de Dschang Bakossi; Buéa; Lac Barombi Mbo; Meme River; Mungo river; Sud Bakundu  ",,,,CEO-endorsed/approved document,project site(area)-sustainable forest management/biodiversity conservation/alternative livelihood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4847,M;B;L;M;,GEF - 5,"Pine Islands - Forest/Mangrove Innovation and Integration (Grand Bahama, New Providence, Abaco and Andros) ",,"The CEO-endorsed project document didn't single out a section describing the project location. But in its description of project activities it mentioned the some of the project sites:    Under project Output 2.2: Community co-management of 2 management plans for 15% Conservation forests PD p.37-45    This output call for managing 15% of Conservation Forests as well as working with communities stakeholders to have co-management arrangements for the proposed areas. During the PPG, the islands that were chosen for these sites were Abaco and Andros. The site selections for the conservation forests were determined thru stakeholder consultations on New Providence, Andros and Abaco. In conclusion, both islands have active communities which they have been advocating to be designated protected areas for some time. Therefore, the areas will be 1) Abaco Blue Hole Conservation Forest, 8,094 hectares and 2) Central Andros: Maiden Hair Conservation Forest, 14,316 hectares. It is expected that up to 5,661,077 tCO2 -eq amount of carbon sequestered over a 30 year period for the 22,410 hectares, that is the 15% of the Conservation forests.    Output 2.3: Restoration of Davis Creek, Central Andros Mangrove system (50 ha) with a projected annual 14,563 tCO2-eq savings    Component 3: Models for SFM Sustainable Livelihoods, agriculture, forestry and sustainable land managment in coastal communitiies of the Pine Islands and the additional Family Islands in SE Bahama    Palm Cultivation: Andros; Grand Bahama (Island name)    Cascarilla Bark:  Acklins; Crooked Islands;  Samana & Plana Cays (Island name)        ",,,,CEO-endorsed/approved document,project area (sites or islands)- Sustainable Forest Management; Sustainable Land Management; Alternative Livelihoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4860,M;B;L;M;,GEF - 5,Mainstreaming Biodiversity Conservation and Sustainable Land Management into Production Practices in all Bioregions and Biomes ,,"Refer to PD's annex 3 pp.126-129 and table 10 for Summary of main characteristics of the selected priority areas (p.35). Annex 2: Description of priority areas    The UPAF (Upper Parana Atlantic Forest) in Paraguay originally covered a significant portion of the Eastern Region, stretching over the whole of the Departments of Alto Parana, Canindeyu, Itapua and Caaguazu, a large share of the Departments of Amambay, San Pedro, Guairá and Caazapa, and parts of the Departments of Concepcion and Paraguari (map in Annex 2). The original coverage has been estimated at 94,000 km2 or 58.8% of the region´s surface area. Today the forest remnants are estimated at 26% of the original cover, most significantly in the departments of Alto Paraná, Amambay and Canindeyú, where an important diversity of habitats with a high degree of threats converge, and constitute the project´s intervention area.    The project intervention area comprises the Departments of Alto Paraná, Amambay and Canindeyu, located to the East and Northeast of the Eastern Region, bordering with Brazil and Argentina (map in Annex 2). Their total surface area of 42,495 km2 represents 26.5% of the Eastern Region´s surface and 10% of the country.    The Alto Parana priority area stretches across the area of influence of the Monday and Ñacunday rivers (see map in Annex 2); it has an extension of 549,160 ha with 16% forest cover (87,000 ha, including 5,312 ha of protected areas). The area spans across 13 Municipalities (Juan E. O’leary, Juan León Mallorquín, Yguazu, MingaGuazu, Santa Rosa del Monday, Santa Rita, San Cristóbal, Presidente Franco, Cedrales, Domingo Martínez de Irala, Ñacunday, Iruña and Naranjal) and has a rural population of 48,687. Indigenous communities of the Mbya, Ava Guarania and Ache are located within the area. The main land use is mechanized agriculture largely for the production of commodities (soy, maize, wheat) covering 78% of the area´s surface area (430,945 ha). The area´s potential lies in the possibility of increasing connectivity through restoration of protective forests of watercourses and the presence of strengthened institutions such as cooperatives, which in recent years have shown an increasing interest in complying with the environmental regulations.    The Amambay priority area is located in the area of influence of the Cerro Cora National Park (see map in Annex 2). The area stretches across 582,927 ha and 2 districts (Pedro Juan Caballero and Capitan Bado); its rural population is 12,928. The forest cover of the area amounts to 171,846 ha or 30% of its surface area. Key criteria for selection of this area were the richness of its flora, cultural significance, and the need to strengthen SEAM´s presence in the region. The main land use is livestock production covering 358,208 ha or 61% of the area´s surface area. Indigenous communities in the region include Mbya, Ava Guarani and Pai Tavytera. The main threats to biodiversity and ecosystem integrity include: 1) contamination and sedimentation of watercourses; 2) burning of pastures; 4) soil erosion; 5) invasion of exotic species (pastures) and 6) expansion of illegal crops.    The Canindeyu priority area is located within the area of influence of the Mbaracayu Forest Biosphere Reserve, which has a surface area of 289,506 ha. The Mbaracayu Forest Reserve is located within the area and is the largest protected forest remnant in the East of Paraguay (64,000 ha). The area stretches across most of the district of Villa Ygatimi and partially over the districts of Ypehu, Corpus Christi, Curuguaty and Katuete (see map in Annex 2). The rural population of these districts is 41,305. Forests within the area (outside of protected areas) cover 65,122 ha or 22% of the surface area. Although livestock production is the main land use in the Department of Canindeyu, within the area the main land use is agriculture due to the high presence of small farmers; 67% of the properties are larger than 100 ha while 33% are smaller. Agriculture covers 105,855 ha or 37% of the area´s surface area. Indigenous peoples include Ache, Ava Guarani, PaiTavytera and Mbya, some of them conserving important forest areas, such as the Ache community of ChupaPou, who own some 8,000 ha of forests. The main threats to biodiversity and ecosystem integrity in this area are: 1) Unsustainable agricultural and livestock practices; 2) Unsustainable forestry; 3) Settlements established without adequate planning; 4) expansion of illegal crops.",,,,CEO-endorsed/approved document,"priority area- SFM, SLM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4905,M;B;C;M;,GEF - 5,Strengthening National Biodiversity and Forest Carbon Stock Conservation through Landscape-based Collaborative Management of Cambodia’s Protected Area System as Demonstrated in the Eastern Plains Landscape (CAMPAS Project),,Eastern Plains Landscape:  - Lomphat Wildlife Sanctuary  - Mondulkiri Protected Forest  - Phnom Nam Lyr Wildlife Sanctuary  - Phnom Prich Wildlife Sanctuary  - Seima Protected Forest  ,,,,CEO-endorsed/approved document,PA - SFM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4932,M;B;L;I;M;,GEF - 5,"Integrating Water, Land and Ecosystems Management in Caribbean Small Island Developing States (IWEco)",,,,,,CEO-endorsed/approved document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
