"AidData Project ID","round","gef_id","Agency","Lead agency","Secondary agency(ies)","Region","List of regions","Country","List of participating countries","Countries listed by Code (ISO 3166-1 alpha-2)","Focal Area","Focal Area single-letter-code","List of project's focal areas","GEF replenishment phase","Type acronym","Type","Status","Trust Fund acronym","Trust Fund","Executing partner / agency","Type of executing partner / agency","Type acronym of parent (or empty if standalone)","Category (empty: standalone, parent, child)","Biosafety project?","Targeted research project?","National Capacity Self Assessement (NCSA)?","National Adaptation Programme of Action (NAPA)?","isNonExpedited","National Portfolio Formulation Exercises (NPFE)?","National communications project?","Small Grants Programme (SGP)?","Sustainable Forest Management (SFM)?","Requires second review?","Primary GEFSEC Program Manager","ID of secondary GEFSEC Program Manager","UNDP Project ID","World Bank Project ID","GEF3 OP list","GEF4 SP list","GEF4 SP-ID list","GEF5 FA Objective list","Keyword ID list","Code of business plan allocation item","World Bank Trust Fund number","(Sum of all) Approved PPG(s)","Project Preparation Grant (PPG)","Project Development Facility block A (PDF-A)","Project Development Facility block B (PDF-B)","Project Development Facility block C (PDF-C)","Pre-Investment Facility (PRIF)","Agency fees paid separately for PPG","Agency fees paid separately for PDF-B","GEF Project Grant PIF stage","GEF Project Grant CEO approve stage","GEF Project Grant CEO endorse stage","Agency Fee PIF stage","Agency Fee CEO approve stage","Agency Fee CEO endorse stage","Cofinance PIF stage","Cofinance CEO approve stage","Cofinance CEO endorse stage","Date of receipt or first PMIS entry","PIF Clearance or PIF Approval Date","Expected date of entry into work program","Date of entry into work program","Date of project approval","Date of CEO approval (MSP / EA)","Date of CEO endorsement (FSP)","Date of dropping (before project approval)","Date of cancelation (after project approval)","Date of PIF rejection by CEO","Date of technical rejection by Program Manager","Date of rejection by CEO at CEO approve stage","Date of rejection by CEO at CEO endorse stage","Date of Parent / Program rejection by Council","Date of approval by Agency","Expected date of Grant signing","Actual date of Grant signing","Expected date of implementation start","Actual date of implementation start","Expected date of closure","Actual date of closure","Expected date of financial closure","Date of financial closure","Expected date of Internal Completion Report (ICR)","Date of Internal Completion Report (ICR)","Expected date of Parent endorsement by Council","Date of Parent endorsement by Council","Expected date of effectiveness","Date of effectiveness","Expected date of mid term review","Date of mid term review","GEFNewRegionList"
"906001218180","Biodiversity","2123","UNEP","UNEP","","CEX","AFR, Asia, LAC","Global","Brazil, Ghana, India, Kenya, Nepal, Pakistan, South Africa","1W, GH, KE, ZA, IN, NP, PK, BR","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","FAO (other EA listed under remarks)","Multilateral","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Mohamed Bakarr","","","","-13-","BD-2;BD-4;",";2;4;","","","","","700000","","","700000","","","","","7810682","","7810682","765961","","765961","18647321","","18647321","19-May-03","","1-Jun-07","14-Jun-07","14-Jun-07","","31-Jul-08","","","","","","","","31-Aug-08","","","30-Sep-08","1-Nov-08","1-Jun-15","","","","30-Sep-13","","","","","","31-Dec-12","30-Sep-10","AFR, Asia, LAC, CEX,"
"906001218182","Biodiversity","3761","UNDP","UNDP","","AFR","","Gabon","","GA","Biodiversity","B","B","GEF - 4","MSP","Medium-Sized Project","Under Implmentation","GET","GEF Trust Fund","Ministry of Environment and Nature Protection and Sustainable Development.","Government","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Jaime Cavelier","329964","4183","","","BD-5;",";5;","","","","","50000","50000","","","","","5000","","859091","859090","","85909","85909","","2950000","1980000","","2-Sep-08","18-Sep-08","","","18-Sep-08","23-Mar-11","","","","","","","","","","","","30-May-11","6-May-12","31-Dec-15","","","","","","","","","","30-May-13","","AFR,"
"906001218184","Biodiversity","3757","UNDP","UNDP","","AFR","","Equatorial Guinea","","GQ","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","UNDP","Multilateral","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Charlotte Gobin","","4185","","","","","","","","","50000","50000","","","","","5000","","1768182","","1768182","176818","","176818","4450000","","4932800","29-Aug-08","17-Sep-08","1-Nov-08","13-Nov-08","13-Nov-08","","6-Apr-10","","","","","","","","","","","30-Jun-10","23-Nov-10","29-May-14","","","","","","","","","","30-Jun-12","","AFR,"
"906001218186","Biodiversity","3752","UNDP","UNDP","","AFR","","Cabo Verde","","CV","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","General Directorate for the Environment, Ministry of Environment, Rural Development and Marine Resources (MADRRM)","Government","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Charlotte Gobin","","4176","","","","","","","","","100000","100000","","","","","10000","","3287000","","3100000","328700","","310000","14245000","","16780738","13-Aug-08","15-Sep-08","1-Nov-08","13-Nov-08","13-Nov-08","","7-Jun-10","","","","","","","","","","","30-Jun-10","4-Aug-10","29-May-14","","","","","","","","","","30-Aug-12","","SIDS,"
"906001218188","Biodiversity","3750","UNDP","UNDP","","AFR","AFR","Regional","Congo, Congo DR","00, ZR, CG","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Ministry of Forestry, Economy and Environment, Ministry of Tourism and Environment ( ROC) / Ministry of Environment, Nature Conservation, Tourism, Water & Forestry (DRC), WCS","Government","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Jean-Marc Sinnassamy","404597","4182","","","","","","","","","100000","100000","","","","","10000","","2172726","","2172726","217273","","217273","6600000","","3040000","29-Aug-08","17-Sep-08","1-Nov-08","13-Nov-08","13-Nov-08","","13-May-10","","","","","","","","","","","30-Aug-10","21-Dec-12","30-Jul-14","","","","","","","","","","30-Aug-12","","AFR, REG,"
"906001218190","Biodiversity","3746","UNDP/UNEP","UNDP","UNEP","CEX","","Global","","1W","Biodiversity","B","B","GEF - 4","MSP","Medium-Sized Project","CEO Approved","GET","GEF Trust Fund","National Ministries/Departments of Environment in the countries","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Danielius Pivoriunas","","3918","","","CB-2;",";27;","",";9;","","","0","","","","","","","","1000000","","","100000","","","712050","","","25-Aug-08","","","","7-Oct-08","7-Oct-08","","","","","","","","","","","","","","","","","","","","","","","","","","CEX,"
"906001218192","Biodiversity","1902","UNEP","UNEP","","Asia","","Regional","Bangladesh, Sri Lanka, Pakistan, Vietnam","00, PK, LK, VN, BD","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Bangladesh Agricultural Univiversity, Department of Animal Breeding and Genetics; Pakistan Agricultural Research Council, Animal Sciences Division; Universty of Peradeniya, Department of Animal Science, Sri Lanka; SEE REMARKS FOR OTHER Eas","Multilateral","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Andrea Kutter","","","","-13-","","","","","","","450000","","","450000","","","","","1982770","","1982770","243277","","243277","3781000","","3971000","1-Nov-02","5-Oct-07","1-Nov-07","16-Nov-07","16-Nov-07","","26-Nov-08","","","","","","","","10-Mar-09","","","31-Oct-08","1-Mar-09","31-Dec-14","","","","","","","","","","31-Dec-11","","Asia, REG,"
"906001218194","Biodiversity","3745","UNDP","UNDP","","ECA","","Russian Federation","","RU","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Federal Ministry of Natural Resources and Environment","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Mohamed Bakarr","","4194","","","","","","","","","150000","150000","","","","","","","5304545","","5304545","545455","","545455","15300000","","14900000","29-Aug-08","10-Sep-08","1-Nov-08","13-Nov-08","13-Nov-08","","17-Nov-09","","","","","","","","","","","31-Jan-10","27-Feb-10","28-Feb-15","","","","31-Dec-15","","","","","","31-Dec-13","","ECA,"
"906001218196","Biodiversity","3736","UNDP","UNDP","","AFR","","Ethiopia","","ET","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Government of Ethiopia","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Jaime Cavelier","","2913","","","BD-4;BD-5;",";4;5;","","","","","150000","150000","","","","","","","3863600","","3863600","386360","","401360","4700000","","5150000","8-Sep-08","11-Sep-08","1-Nov-08","13-Nov-08","13-Nov-08","","10-Nov-10","","","","","","","","","","","31-Jan-11","13-Aug-08","28-Feb-14","","","","","","","","","","31-May-13","","AFR,"
"906001218198","Biodiversity","3722","UNEP","UNEP","","LAC","","Brazil","","BR","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Ministry of Science and Technology","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Gustavo Alberto Fonseca","270938","","","","BD-4;",";4;","","","","","100000","100000","","","","","","","8172727","","8172728","817273","","827272","20100000","","20000000","14-Jul-08","18-Sep-08","1-Nov-08","13-Nov-08","13-Nov-08","","3-May-10","","","","","","","","18-Jul-11","","","30-Jun-10","1-Jan-12","31-May-16","","","","","","","","","","31-Jan-13","","LAC,"
"906001218200","Biodiversity","3698","UNDP","UNDP","","ECA","","Turkmenistan","","TM","Biodiversity","B","B","GEF - 4","MSP","Medium-Sized Project","Project Completion","GET","GEF Trust Fund","Ministry of Nature Protection","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Andrea Kutter","346313","3961","","","","","","","","","50000","50000","","","","","","","950000","950000","","95000","95000","","2100000","2598400","","29-May-08","5-Jun-08","","","5-Jun-08","8-Jul-09","","","","","","","","","20-Aug-09","","","30-Oct-09","20-Aug-09","30-Nov-12","30-Jun-14","","","31-Dec-13","","","","","","","","ECA,"
"906001218202","Biodiversity","3693","UNDP","UNDP","","AFR","","Kenya","","KE","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Kenya Forest Service, Kenya Wildlife Service, NEMA- Ministry of Environment and Nature Kenya","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Jaime Cavelier","","4178","","","","","","","","","150000","150000","","","","","","","4500000","","4500000","450000","","465000","11000000","","12470000","23-May-08","5-Jun-08","1-Sep-08","23-Sep-08","23-Sep-08","","19-Jan-10","","","","","","","","","","","31-Jan-10","24-Sep-10","29-Dec-15","","","","","","","","","","30-Jun-12","","AFR,"
"906001218204","Biodiversity","3691","World Bank","World Bank","","CEX","","Global","","1W","Biodiversity","B","B","GEF - 4","MSP","Medium-Sized Project","Project Completion","GET","GEF Trust Fund","Wildlife Conservation Society","NGO","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Yoko Watanabe","270938","","","","","","","","","","0","","","","","","","","950000","","","95000","","","1850000","","","13-May-08","15-May-08","","","15-May-08","11-Dec-08","","","","","","","","","","","","","11-Feb-09","30-Jun-11","31-Dec-11","","","31-Dec-11","","","","","","31-Dec-10","","CEX,"
"906001218206","Biodiversity","3688","UNDP","UNDP","","ECA","","Montenegro","","ME","Biodiversity","B","B","GEF - 4","MSP","Medium-Sized Project","Under Implmentation","GET","GEF Trust Fund","Ministry of Tourism and Environmental Protection","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Ivan Zavadsky","298074","4174","","","","","","","","","50000","50000","","","","","","","950000","950000","","95000","95000","","3017000","5439894","","25-Apr-08","6-May-08","","","6-May-08","4-Aug-09","","","","","","","","","18-Aug-09","","","30-Oct-09","18-Aug-09","30-Nov-12","","","","31-Dec-13","","","","","","31-Dec-12","","ECA,"
"906001218208","Biodiversity","3682","UNEP","UNEP","","AFR","","Uganda","","UG","Biodiversity","B","B","GEF - 4","MSP","Medium-Sized Project","Under Implmentation","GET","GEF Trust Fund","Lead: National Environment Management Authority (NEMA) Uganda; Other: International Institute for Environment and Development","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Jaime Cavelier","","","","","","","","","","","30000","30000","","","","","","","870000","870000","","87000","90000","","900000","1232400","","14-Jul-08","28-Jul-08","","","28-Jul-08","1-Feb-10","","","","","","","","","","","","30-Apr-10","1-Jun-10","31-Oct-14","","","","1-Jan-14","","","","","","31-Dec-12","","AFR,"
"906001218210","Biodiversity","3675","UNDP","UNDP","","ECA","","Moldova","","MD","Biodiversity","B","B","GEF - 4","MSP","Medium-Sized Project","Project Completion","GET","GEF Trust Fund","Biodiversity Office, Ministry of Ecology and Natural Resources","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Mohamed Bakarr","","4016","","","","","","","","","50000","50000","","","","","5000","","950000","950000","","100000","100000","","1042820","1091670","","13-Mar-08","31-Mar-08","","","31-Mar-08","10-Mar-09","","","","","","","","","","","","30-Apr-09","14-Apr-09","31-May-13","31-Dec-13","","","31-Dec-14","","","","","","31-Dec-12","","ECA,"
"906001218212","Biodiversity","3997","UNDP","UNDP","","ECA","","Albania","","AL","Biodiversity","B","B","GEF - 4","MSP","Medium-Sized Project","Under Implmentation","GET","GEF Trust Fund","Ministry of Environment, Forestry and Water Administration (MEFWA)","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Dirk Gaul","325999","4255","","","","","","","","","50000","50000","","","","","5000","","950000","950000","","95000","95000","","1927500","1977500","","30-Apr-09","25-Sep-09","","","25-Sep-09","9-Jun-10","","","","","","","","","","","","31-Mar-11","27-Nov-10","28-Apr-16","","","","","","","","","","30-Sep-13","","ECA,"
"906001218214","Biodiversity","3668","World Bank","World Bank","","AFR","","Zambia","","ZM","Biodiversity","B","B","GEF - 4","MSP","Medium-Sized Project","Project Completion","GET","GEF Trust Fund","Kasanka Trust","NGO","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Jaime Cavelier","","","10882","","","","","","","","65000","65000","","","","","","","835000","835000","","83500","90000","","1073000","992000","","4-Mar-08","26-Mar-08","","","26-Mar-08","4-Jun-10","","","","","","","","","","","","1-Aug-10","20-Apr-11","30-Jun-14","30-Jun-14","","","","","","","","","3-Nov-11","","AFR,"
"906001218216","Biodiversity","4330","UNDP","UNDP","","LAC","","Chile","","CL","Biodiversity","B","B","GEF - 5","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","National Environment Commission (CONAMA) with support from SAG, CONAF and NGOs ","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Mark Zimsky","","4272","","","","","BD-2; ","","","","200000","200000","","","","","20000","","4000000","","4000000","400000","","400000","6900000","","8180113","8-Sep-10","21-Sep-10","1-Nov-10","17-Nov-10","17-Nov-10","","18-Jul-12","","","","","","","","14-Nov-12","","","","14-Nov-12","14-Nov-16","","","","","","","","","","","","LAC,"
"906001218218","Biodiversity","3637","UNDP","UNDP","","LAC","","Mexico","","MX","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Comisi�n Nacional Forestal (CONAFOR), Rainforest Alliance (RA)","Government","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Mark Zimsky","","4015","","","","","","","","","100000","100000","","","","","","","6900000","","6900000","690000","","700000","17371500","","17471500","22-Jan-08","14-Feb-08","1-Apr-08","24-Apr-08","24-Apr-08","","18-Mar-10","","","","","","","","","","","31-May-10","12-Nov-10","29-Apr-16","","","","","","","","","","31-May-13","","LAC,"
"906001218220","Biodiversity","3996","UNDP","UNDP","","LAC","","Honduras","","HN","Biodiversity","B","B","GEF - 4","MSP","Medium-Sized Project","Under Implmentation","GET","GEF Trust Fund","Nature Conservancy, Institute for Forest Conservation, SERNA","NGO","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Dirk Gaul","270938","4210","","","BD-4;BD-5;",";4;5;","","","","","80000","80000","","","","","8000","","829091","829091","","82909","82909","","3295000","3298568","","30-Apr-09","15-Sep-09","","","15-Sep-09","20-Oct-10","","","","","","","","","","","","31-Dec-10","26-May-11","30-Apr-15","","","","","","","","","","29-Jun-12","","LAC,"
"906001218222","Biodiversity","3626","UNEP","UNEP","","Asia","","Regional","Micronesia, Marshall Islands, Palau","00, FM, PU, MH","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Micronesia Conservation Trust; Conservation International (CI); The Nature Conservancy (TNC)","NGO","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Nicole Glineur","296630","","","","","","","","","","0","","","","","","","","5454545","","5454545","545455","","545455","10884000","","13921455","22-Jan-08","25-Feb-08","1-Apr-08","24-Apr-08","24-Apr-08","","28-May-10","","","","","","","","","","","30-Sep-10","1-Feb-11","15-Jun-14","","","","","","","","","","28-Sep-12","","SIDS, REG,"
"906001218224","Biodiversity","3616","UNDP","UNDP","","LAC","","Haiti","","HT","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","National Agency for Protected Areas (ANAP), Ministry of the Environment, Ministry of Agriculture and Natural Resources","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Mark Zimsky","","4150","","","","","","","","","100000","100000","","","","","","","2627273","","2627273","272727","","272727","6450000","","5850000","22-Jan-08","29-May-08","1-Jun-08","28-Jul-08","28-Jul-08","","14-Oct-09","","","","","","","","","","","1-Sep-09","24-Nov-09","31-Aug-14","","","","","","","","","","1-Mar-12","","SIDS,"
"906001218226","Biodiversity","3609","UNDP","UNDP","","LAC","","Venezuela","","VE","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","INPARQUES (Ministry of Popular Power for the Environment)","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Mark Zimsky","","4151","","","","","","","","","93400","93400","","","","","","","7179327","","7175866","727273","","726927","16640000","","23115000","22-Jan-08","14-Feb-08","1-Apr-08","24-Apr-08","24-Apr-08","","9-Jul-09","","","","","","","","27-Jul-09","","","30-Sep-09","27-Jul-09","31-May-14","","","","31-Dec-14","","","","","","31-Dec-13","","LAC,"
"906001218228","Biodiversity","3607","UNDP","UNDP","","LAC","","Cuba","","CU","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Ministry of Science, Technology and Environment (CITMA), through the National Center for Protected Areas (CNAP); WWF Canada","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Mark Zimsky","","3973","","","","","","","","","60000","60000","","","","","","","5710000","","5710000","577000","","577000","14150000","","14104906","22-Jan-08","15-Feb-08","1-Apr-08","24-Apr-08","24-Apr-08","","4-May-09","","","","","","","","30-Sep-09","","","30-Apr-09","30-Sep-09","31-Aug-14","","","","","","","","","","","","SIDS,"
"906001218230","Biodiversity","3606","UNDP","UNDP","","Asia","","Philippines","","PH","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Department of Environment and Natural Resources - Protected Areas and Wildlife Burea (DENR-PAWB)","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Jean-Marc Sinnassamy","270938","3530","","","","","","","","","0","","","","","","","","3500000","","3500000","350000","","350000","3860000","","7536094","22-Jan-08","30-May-08","1-Jun-08","28-Jul-08","28-Jul-08","","6-Nov-09","","","","","","","","","","","30-Sep-09","15-Feb-10","31-Aug-14","","","","31-Dec-15","","","","","","31-Dec-12","","Asia,"
"906001218232","Biodiversity","3604","UNDP","UNDP","","LAC","","Colombia","","CO","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Ministry of Environment, Humboldt Institute, Ministry of Agriculture","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Mark Zimsky","","3883","","","","","","","","","300000","300000","","","","","","","2500000","","2500000","250000","","280000","5130000","","7031399","22-Jan-08","14-Feb-08","1-Apr-08","24-Apr-08","24-Apr-08","","23-Dec-09","","","","","","","","","","","30-Apr-10","13-Jul-10","28-Feb-15","","","","","","","","","","31-Oct-12","","LAC,"
"906001218234","Biodiversity","3971","UNDP","UNDP","","LAC","","Bolivia","","BO","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Vice-Ministry of Environment, Biodiversity, Climate Change and Forest Management.    ","Government","PAN","Child","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Mark Zimsky","","4197","","","BD-4;BD-5;",";4;5;","","","","","100000","100000","","","","","10000","","5500000","","5500000","550000","","550000","10500000","","10885000","14-Apr-09","17-Apr-09","30-Jun-09","24-Jun-09","24-Jun-09","","11-Aug-11","","","","","","","","","","","30-Sep-11","15-Apr-12","30-Apr-17","","","","","","","","","","30-Sep-13","","LAC,"
"906001218236","Biodiversity","3603","UNDP","UNDP","","Asia","","Vietnam","","VN","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Ministry of Natural Resources and Environment and Ministry of Agriculture and Rural Development. ","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Yoko Watanabe","270938","3965","","","","","","","","","100000","100000","","","","","","","3536360","","3536360","353636","","363636","15150000","","18541043","21-Jan-08","19-Feb-08","1-Jun-08","28-Jul-08","28-Jul-08","","24-Mar-10","","","","","","","","","","","31-Aug-10","22-Dec-10","30-Jul-15","","","","","","","","","","31-Jul-12","","Asia,"
"906001218238","Biodiversity","3590","UNDP","UNDP","","LAC","","Colombia","","CO","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","The Colombian Coffee Federation (FNC), The Von Humboldt Institute, Regional Autonomous Corporations, Rainforest Alliance and Fundaci�n Natura","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Mark Zimsky","","3882","","","","","","","","","230000","230000","","","","","","","2000000","","2000000","200000","","223000","5270000","","5812055","14-Jan-08","22-Feb-08","1-Apr-08","24-Apr-08","24-Apr-08","","30-Oct-09","","","","","","","","","","","26-Feb-10","22-Feb-10","31-Jan-15","","","","31-Dec-16","","","","","","31-Dec-13","","LAC,"
"906001218240","Biodiversity","3556","UNDP","UNDP","","ECA","","Uzbekistan","","UZ","Biodiversity","B","B","GEF - 4","MSP","Medium-Sized Project","Project Completion","GET","GEF Trust Fund","Ministry of Agriculture and Water Management, Main Forestry Department","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Andrea Kutter","","2111","","","","","","","","","25000","","25000","","","","","","975000","","","100000","","","1240000","","","5-Dec-07","29-Jan-08","","","29-Jan-08","4-Apr-08","","","","","","","","","","","","","29-Jun-08","31-Dec-12","20-Aug-13","","","31-Dec-13","","","","","","31-Dec-11","","ECA,"
"906001218242","Biodiversity","3550","UNDP","UNDP","","ECA","","Turkey","","TR","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Project Completion","GET","GEF Trust Fund","Ministry of Environment","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Jaime Cavelier","239109","3697","","","","","","","","","100000","100000","","","","","","","2300000","","2200000","230000","","230000","4000000","","4020000","9-Nov-07","26-Nov-07","1-Feb-08","22-Feb-08","22-Feb-08","","17-Apr-09","","","","","","","","","","","30-Oct-09","29-May-09","29-Oct-13","30-Apr-14","","","31-Dec-14","","","","","","31-Dec-12","","ECA,"
"906001218244","Biodiversity","3955","UNDP","UNDP","","LAC","","Cuba","","CU","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Ministry of Science, Technology and Environment (CITMA), Center of Information, Management and Environmental Education","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Mark Zimsky","","3990","","","BD-7;",";7;","","","","","72727","72727","","","","","7273","","5018182","","5018182","501818","","501818","10000000","","10000000","9-Apr-09","22-Apr-09","30-Jun-09","24-Jun-09","24-Jun-09","","14-Apr-11","","","","","","","","","","","30-Jun-11","14-Jun-11","29-Jun-16","","","","","","","","","","28-Jun-13","","SIDS,"
"906001218246","Biodiversity","3548","IADB","IADB","","LAC","","Ecuador","","EC","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Ministry of Environment","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Mark Zimsky","","","","","","","","","","","230000","205000","25000","","","","","","4000000","","4000000","423000","","423000","6000000","","17300000","9-Nov-07","7-Feb-08","1-Apr-08","24-Apr-08","24-Apr-08","","5-Jan-10","","","","","","","","","","","28-Feb-10","6-Aug-10","6-Dec-15","","","","","","","","","","31-Jul-12","","LAC,"
"906001218248","Biodiversity","3532","IADB","IADB","","LAC","","Colombia","","CO","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","CORALINA","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Mark Zimsky","","","","","","","","","","","150000","150000","","","","","","","3000000","","3000000","300000","","315000","4150000","","6253000","9-Nov-07","6-Dec-07","1-Feb-08","22-Feb-08","22-Feb-08","","3-Nov-09","","","","","","","","4-Nov-09","","","31-Jan-10","17-Dec-09","17-Dec-14","","","","16-Sep-12","","","","","","30-Apr-13","30-Apr-13","LAC,"
"906001218250","Biodiversity","3526","UNDP","UNDP","","AFR","","Mauritius","","MU","Biodiversity","B","B","GEF - 4","FP","Full-Sized Project","Under Implmentation","GET","GEF Trust Fund","Ministry of Agro-industry and Fisheries (National Parks and Conservation Service) and Mauritian Wildlife Foundation (MWF)","Government","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Jaime Cavelier","","3749","","","","","","","","","150000","150000","","","","","","","4000000","","4000000","400000","","415000","6000000","","11764400","19-Oct-07","18-Dec-07","1-Feb-08","22-Feb-08","22-Feb-08","","15-Dec-09","","","","","","","","","","","30-Apr-10","5-Mar-10","28-Feb-15","","","","31-Dec-16","","","","","","31-Dec-14","","SIDS,"
