GEF_ID,Agency,Lead agency,Secondary agency(ies),Region,List of regions,Country,List of participating countries,Countries listed by Code (ISO 3166-1 alpha-2),Focal Area,Focal Area single-letter-code ,List of project's focal areas,Title,GEF replenishment phase,Type acronym,Type,Status,Trust Fund acronym,Trust Fund,Executing partner / agency,Type of executing partner / agency,Type acronym of parent (or empty if standalone),"Category (empty: standalone, parent, child)",Biosafety project?,Targeted research project?,National Capacity Self Assessement (NCSA)?,National Adaptation Programme of Action (NAPA)?,isNonExpedited,National Portfolio Formulation Exercises (NPFE)?,National communications project?,Small Grants Programme (SGP)?,Sustainable Forest Management (SFM)?,Requires second review?,Primary GEFSEC Program Manager,ID of secondary GEFSEC Program Manager,UNDP Project ID,World Bank Project ID,GEF3 OP list,GEF4 SP list,GEF4 SP-ID list,GEF5 FA Objective list,Keyword ID list,Code of business plan allocation item,World Bank Trust Fund number,(Sum of all) Approved PPG(s),Project Preparation Grant (PPG),Project Development Facility block A (PDF-A),Project Development Facility block B (PDF-B),Project Development Facility block C (PDF-C),Pre-Investment Facility (PRIF),Agency fees paid separately for PPG,Agency fees paid separately for PDF-B,GEF Project Grant PIF stage,GEF Project Grant CEO approve stage,GEF Project Grant CEO endorse stage,Final Grant,Agency Fee PIF stage,Agency Fee CEO approve stage,Agency Fee CEO endorse stage,Cofinance PIF stage,Cofinance CEO approve stage,Cofinance CEO endorse stage,Date of receipt or first PMIS entry,PIF Clearance or PIF Approval Date,Expected date of entry into work program,Date of entry into work program,Date of project approval,Date of CEO approval (MSP / EA),Date of CEO endorsement (FSP),Date of dropping (before project approval),Date of cancelation (after project approval),Date of PIF rejection by CEO,Date of technical rejection by Program Manager,Date of rejection by CEO at CEO approve stage,Date of rejection by CEO at CEO endorse stage,Date of Parent / Program rejection by Council,Date of approval by Agency,Expected date of Grant signing,Actual date of Grant signing,Expected date of implementation start,Actual date of implementation start,Expected date of closure,Actual date of closure,Expected date of financial closure,Date of financial closure,Expected date of Internal Completion Report (ICR),Date of Internal Completion Report (ICR),Expected date of Parent endorsement by Council,Date of Parent endorsement by Council,Expected date of effectiveness,Date of effectiveness,Expected date of mid term review,Date of mid term review,GEFNewRegionList
4916,UNDP,UNDP,,LAC,,Colombia,,CO,Biodiversity,B,B,Conservation of Biodiversity in Landscapes Impacted by Mining in the Choco Biogeographic Region,GEF - 5,FP,Full Size Project,CEO Endorsed,GET,GEF Trust Fund,"Ministry of the Environment and Sustainable Development (MADS), Ministry of Mining and Energy (MME); National Parks of Colombia; Regional Autonomous Corporations (CARs) and local governments; IIAP and WWF . ",Government,,,0,0,0,0,0,0,0,0,0,0,Mark Zimsky,,5035,,,,,BD-1; BD-2; ,,,,150000,150000,,,,,15000,,5850000,,5850000,5850000,585000,,585000,40237393,,30642752,27-Mar-12,3-Apr-12,1-Jun-12,7-Jun-12,7-Jun-12,,8-Jan-14,,,,,,,,,,,,,,,,,,,,,,,,,"LAC,"
4104,World Bank,World Bank,,LAC,,Chile,,CL,Multi Focal Area,M,M;B;C;L;,Sustainable Land Management,GEF - 4,FP,Full Size Project,CEO Endorsed,GET,GEF Trust Fund,Office of Agrarian Studies and Policy (Ministry of Agriculture),Government,,,0,0,0,0,0,0,0,0,0,1,Mohamed Bakarr,226576,,,,LD-3;BD-4;CC-6;CC-6;,;17;4;14;14;,,,,,0,,,,,,,,5863636,,5863636,5863636,586364,,586364,77610000,,58000000,15-Sep-09,27-Apr-10,30-Jun-10,8-Jun-10,8-Jun-10,,24-Apr-13,,,,,,,,,,,31-Jul-12,,30-Apr-18,,,,,,,,,,31-Dec-14,,"LAC,"
5632,UNDP,UNDP,,AFR,,Madagascar,,MG,Climate Change,C,C,"Enhancing the Adaptation Capacities and Resilience to Climate Change in Rural Communities in Analamanga,  Atsinanana, Androy, Anosy, and Atsimo Andrefana ",GEF - 5,FP,Full Size Project,CEO Endorsed,LDCF,Least Developed Countries Fund,Bureau National de coordination du  Changement Climatique - BNCC  (National Climate Change Coordination  Office),Government,,,0,0,0,0,0,0,0,0,0,0,Fareeha Iqbal,,5228,,,,,CCA-2; CCA-3; ,,,,150000,150000,,,,,14250,,5877397,,5877397,5877397,558353,,558353,34300000,,61361670,4-Nov-13,6-Jan-14,10-Feb-14,10-Feb-14,10-Feb-14,,21-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,"AFR,"
4559,UNDP,UNDP,,AFR,,Eritrea,,ER,Biodiversity,B,B;B;C;L;,Integrated Semenawi and Debubawi Bahri-Buri-Irrori- Hawakil Protected Area System for Conservation of Biodiversity and Mitigation of Land Degradation,GEF - 5,FP,Full Size Project,IA Approved,GET,GEF Trust Fund,"Ministry Land, Water and Environment",Government,,,0,0,0,0,0,0,0,0,0,1,Jaime Cavelier,329964,4816,,,,,BD-1; ,,,,150000,150000,,,,,15000,,5878000,,5878000,5878000,587800,,587800,10555400,,10450000,13-Jun-11,25-Jul-11,1-Nov-11,9-Nov-11,9-Nov-11,,8-Jan-14,,,,,,,,28-Feb-14,,,,,,,,,,,,,,,,,"AFR,"
5580,UNEP,UNEP,,AFR,,Mauritania,,MR,Climate Change,C,C,Development of an Improved and Innovative Delivery System for Climate Resilient Livelihoods in Mauritania,GEF - 5,FP,Full Size Project,Council Approved,LDCF,Least Developed Countries Fund,Ministry of Environment and Sustainable Development (MDEDD),Government,,,0,0,0,0,0,0,0,0,0,0,Fareeha Iqbal,382679,,,,,,CCA-1; CCA-2; CCA-3; ,,,,100000,100000,,,,,9500,,5000000,,5879060,5879060,475000,,475000,11900000,,8500000,4-Sep-13,2-Jan-14,2-Feb-14,24-Feb-14,24-Feb-14,,,,,,,,,,,,,,,,,,,,,,,,,,,"AFR,"
4930,UNEP,UNEP,,CEX,"AFR, Asia",Global,"Indonesia, Sri Lanka, Madagascar, Malaysia, Mozambique, Solomon Islands, Timor Leste, Vanuatu","1W, ID, LK, MG, MY, MZ, SB, TP, VU",Biodiversity,B,B,Enhancing the Conservation Effectiveness of Seagrass Ecosystems Supporting Globally Significant Populations of Dugong Across the Indian and Pacific Ocean Basins (Short Title: The Dugong and Seagrass Conservation Project)  ,GEF - 5,FP,Full Size Project,CEO Endorsed,GET,GEF Trust Fund,"The overall Executing Agency will be the Mohamed bin Zayed Species Conservation Fund because of its close proximity and relationship with the UNEP/CMS Dugong MoU Secretariat who will provide technical oversight of the project.    Technical Partners include: the UNEP/CMS Dugong MoU Secretariat and its Technical Advisory Team, UNEP-DEPI, Blue Ventures, GRID-arendal & Forest Trends.    The key National Partners1 are:  Indonesia: Ministry of Marine  Affairs and Fisheries, Ministry of Environment.  Madagascar: Ministry of Environment and Forests  Malaysia: Ministry of Natural Resources and Environment  Mozambique: Ministry for Coordination of Environmental Affairs (MICOA), Natural History Museum / Eduardo Mondlane University.  Sri Lanka: Department of Wildlife Conservation, Ministry of the Environment  Timor Leste: Ministry of  Agriculture and Fisheries.  Vanuatu: Department of Environment and Conservation  ",Foundation,,,0,0,0,0,0,0,0,0,0,1,Charlotte Gobin,270938,,,,,,BD-1; BD-1; BD-2; ,,,,170000,170000,,,,,17000,,4902272,,5884018,5884018,490228,,558982,17822950,,99299043,30-Mar-12,20-Apr-12,1-Jun-12,7-Jun-12,7-Jun-12,,8-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,"AFR, Asia, SIDS, CEX,"
1164,UNEP,UNEP,,ECA,,Russian Federation,,RU,International Waters,I,I,"Support to the National Programme of Action for the Protection of the Arctic Marine Environment, Tranche 1",GEF - 2,FP,Full Size Project,Project Completion,GET,GEF Trust Fund,Ministry of Economic Development - ACOPS,Government,,,0,0,0,0,0,0,0,0,0,0,Andrea Merla,,,,-10-,,,,,,,306000,,,306000,,,,,5885000,,5885000,5885000,222773,,,12484000,,16976000,,,1-Dec-01,7-Dec-01,7-Dec-01,,31-Jul-03,,,,,,,,28-Aug-03,,,,1-Sep-05,31-May-11,28-Feb-11,,,31-Dec-11,,,,,20-Aug-03,,,"ECA,"
3373,World Bank,World Bank,,AFR,,Madagascar,,MG,Land Degradation,L,L,SIP: Watershed Management,GEF - 4,FP,Full Size Project,Project Completion,GET,GEF Trust Fund,Ministry of Agriculture and Ministry of Environment and Water and Forests,Government,SIP,Child,0,0,0,0,0,0,0,0,0,1,Ivan Zavadsky,,,88887,-15-,LD-2;LD-3;,;16;17;,,,,,350000,,,350000,,,,,5900000,,5900000,5900000,0,,0,33149433,,,,22-Jan-08,,14-Jun-07,14-Jun-07,,9-Jun-08,,,,,,,,6-Nov-08,,,,26-Jun-11,30-Jun-14,30-Jun-14,,,,,,,,,19-Sep-11,,"AFR,"
3747,UNDP/UNIDO,UNDP,UNIDO,ECA,,Turkey,,TR,Climate Change,C,C,Improving Energy Efficiency in Industry,GEF - 4,FP,Full Size Project,Under Implmentation,GET,GEF Trust Fund,"General Directorate of Electrical Power Resources Survey and Development Administration (EIE), Technology Development Foundation of Turkey (TTGV)",Government,,,0,0,0,0,0,0,0,0,0,1,Alexis Jean-Roch Mariani,344303,4113,,-5-,,,,,,,120000,120000,,,,,,,5900000,,5900000,5900000,602000,,602000,12900000,,29083400,28-Aug-08,21-Oct-08,1-Jan-09,27-Jan-09,27-Jan-09,,4-Aug-10,,,,,,,,,,,30-Sep-10,24-Nov-10,30-Aug-15,,,,,,,,,,31-Mar-13,,"ECA,"
3813,UNEP,UNEP,,LAC,,Mexico,,MX,Biodiversity,B,B,Integrating Trade-offs between Supply of Ecosystem Services and Land Use Options into Poverty Alleviation Efforts and Development Planning,GEF - 4,FP,Full Size Project,Under Implmentation,GET,GEF Trust Fund,"CONANP, CONAFOR, ECOBANCA AC",Government,,,0,0,0,0,0,0,0,0,0,1,Mark Zimsky,226576,,,,,,,,,,100000,100000,,,,,10000,,5900000,,5900000,5900000,590000,,590000,9531000,,9788530,,24-Apr-09,30-Jun-09,24-Jun-09,24-Jun-09,,13-Oct-10,,,,,,,,,,,31-Dec-10,1-Dec-10,30-Nov-16,,,,,,,,,,31-Jul-13,,"LAC,"
104,World Bank,World Bank,,Asia,,Sri Lanka,,LK,Climate Change,C,C,Energy Services Delivery,GEF - 1,FP,Full Size Project,Project Closure,GET,GEF Trust Fund,Renewable Energy Fund Management Unit of the Ministry of Finance; Ceylon Electricity Board,Government,,,0,0,0,0,0,0,0,0,0,0,,,,39965,-6-5-,,,,,,,200000,,,200000,,,,,7300000,,5900000,5900000,,,,49400000,,49400000,,,1-Apr-96,1-Apr-96,1-Apr-96,,10-Feb-97,,,,,,,,18-Mar-97,,,,22-Jul-97,31-Dec-02,31-Dec-02,,,,4-Jun-03,,,,22-Jul-97,,,"Asia,"
248,UNDP,UNDP,,AFR,,Congo DR,,ZR,Biodiversity,B,B,Rehabilitation of Protected Areas in the Democratic Republic of the Congo,GEF - 1,FP,Full Size Project,Project Completion,GET,GEF Trust Fund,United Nations Office for Projects Services,Multilateral,,,0,0,0,0,0,0,0,0,0,0,Kanta Kumari,,270,,-3-,,,,,,,25000,,25000,,,,,,6307441,,5917000,5917000,,,,13644000,,12719352,3-Dec-02,,1-Nov-97,1-Nov-97,1-Nov-97,,31-Jul-03,,,,,,,,6-Jan-04,,,,6-Jan-04,1-May-02,31-Dec-09,,,,,,,,6-Jan-04,,,"AFR,"
5059,UNDP,UNDP,,ECA,,Kazakhstan,,KZ,Climate Change,C,C,Nationally Appropriate Mitigation Actions for Low-carbon Urban Development,GEF - 5,FP,Full Size Project,CEO Endorsed,GET,GEF Trust Fund,"National Agency for Construction and Housing&Communal Affairs,  Ministry of Ministry of Environment Protection , Ministry of Economy and Strategic Planning, City Administrations (Akimats)    ",Government,,,0,0,0,0,0,0,0,0,0,0,David Elrie Rodgers,475155,4670,,,,,CCM-6; CCM-4; ,,,,150000,150000,,,,,14250,,5930000,,5930000,5930000,563350,,563350,60000000,,65389094,7-Aug-12,24-Apr-13,1-Jun-13,20-Jun-13,20-Jun-13,,4-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,"ECA,"
2373,IFAD,IFAD,,LAC,,Brazil,,BR,Land Degradation,L,L,Sustainable Land Management in the Semi-Arid Sertao,GEF - 3,FP,Full Size Project,Project Completion,GET,GEF Trust Fund,Ministry of Agrarian Development,Government,,,0,0,0,0,0,0,0,0,0,0,Andrea Kutter,,,,-15-,,,,,,,300000,,,300000,,,,,5943000,,5943000,5943000,565000,,,9226000,,9201000,2-Oct-03,,1-Nov-04,19-Nov-04,19-Nov-04,,14-Dec-05,,,,,,,,31-Jan-06,,29-Dec-06,,4-Dec-07,30-Sep-13,30-Sep-13,,,,,,,,29-Dec-06,26-Oct-10,,"LAC,"
461,UNEP,UNEP,,REG,"AFR, Asia, ECA",Regional,"Albania, Algeria, Bosnia-Herzegovina, Croatia, Egypt, Lebanon, Libya, Morocco, Slovenia, Syria, Tunisia, Turkey","00, AL, DZ, BA, HR, EG, LB, MA, SI, SY, TN, TR",International Waters,I,I,Determination of Priority Actions for the Further Elaboration and Implementation of the Strategic Action Programme for the Mediterranean Sea,GEF - 1,FP,Full Size Project,Project Closure,GET,GEF Trust Fund,Secretariat for the Barcelona Convention  Co-ordinating Unit for the Mediterranean Action Plan (MEDU-MAP,Multilateral,,,0,0,0,0,0,0,0,0,0,0,,,,,-8-,,,,,,,340000,,,340000,,,,,5950000,,5950000,5950000,,,,4185000,,5925000,,,30-Mar-98,30-Mar-98,30-Mar-98,,14-Apr-00,,,,,,,,15-Dec-00,,,,1-Jan-01,30-Jun-02,30-Jun-06,,1-Jun-05,,,,,,1-Jan-01,,,"AFR, ECA, REG,"
85,World Bank,World Bank,,AFR,,Cameroon,,CM,Biodiversity,B,B,Biodiversity Conservation and Management,Pilot Phase,FP,Full Size Project,Project Closure,GET,GEF Trust Fund,Ministry of Environment and Forestry; Ministry of Science and Technical Research,Government,,,0,0,0,0,0,0,0,0,0,0,,,,311,-3-,,,,,,,137000,,,,,137000,,,5960000,,5960000,5960000,,,,6430000,,6430000,,,1-May-93,1-May-93,1-May-93,,,,,,,,,,27-Mar-95,,22-May-95,,22-Dec-95,22-Dec-95,31-Mar-03,,,,30-Sep-03,,,,22-Dec-95,,,"AFR,"
784,World Bank,World Bank,,LAC,,Mexico,,MX,Climate Change,C,C,Methane Capture and Use (Landfill Demonstration Project,GEF - 2,FP,Full Size Project,Project Closure,GET,GEF Trust Fund,SIMEPRODE,Government,,,0,0,0,0,0,0,0,0,0,0,,,,63463,-6-,,,,,,,300000,,,300000,,,,,6230000,,5970000,5970000,624000,,,16620000,,6980000,,,,1-May-00,1-May-00,,17-Apr-01,,,,,,,,15-May-01,,29-Oct-01,,31-May-02,30-Jun-06,30-Jun-06,,,,31-Jan-07,,,,31-May-02,,,"LAC,"
2967,UNEP,UNEP,,LAC,,Regional,"Antigua And Barbuda, Barbados, Bahamas, Belize, Dominica, Grenada, Guyana, St. Kitts And Nevis, St. Lucia, Suriname, Trinidad and Tobago, St. Vincent and Grenadines","00, AG, BB, DM, KN, LC, VC, TT, BS, BZ, GD, GY, SR",Biodiversity,B,B,BS Regional Project for Implementing National Biosafety Frameworks in the Caribbean Sub-region - under the GEF Biosafety Program,GEF - 4,FP,Full Size Project,Under Implmentation,GET,GEF Trust Fund,University of West Indies (UWI) with other regional collaborators and National Executing Agencies,Institute,PAN,Child,0,0,0,0,0,0,0,0,0,1,Jaime Cavelier,329964,,,-3-4-13-10-,BD-6;,;6;,,,,,110502,110502,,,,,,,5972493,,5972493,5972493,597249,,608294,6918624,,6897582,14-Oct-05,22-Feb-08,1-Apr-08,24-Apr-08,24-Apr-08,,6-Apr-11,,,,,,,,22-Sep-11,,,1-Jun-11,22-Sep-11,20-Mar-16,,,,,,,,,,1-Jun-13,,"LAC, SIDS, REG,"
4855,World Bank,World Bank,,AFR,,Tanzania,,TZ,Biodiversity,B,B,Kihansi Catchment Conservation and Management,GEF - 5,FP,Full Size Project,CEO Endorsed,GET,GEF Trust Fund,National Environment Management Council (NEMC).,Government,,,0,0,0,0,0,0,0,0,0,0,Jaime Cavelier,404597,,126361,,,,BD-2; ,,,,0,,,,,,,,5980554,,5980544,5980544,598054,,598054,18300000,,18300000,15-Mar-12,2-Apr-12,1-Jun-12,7-Jun-12,7-Jun-12,,22-Aug-13,,,,,,,,,,,,,,,,,,,,,,,,,"AFR,"
843,UNDP,UNDP,,LAC,,Chile,,CL,Climate Change,C,C,Removal of Barriers to Rural Electrification with Renewable Energy,GEF - 2,FP,Full Size Project,Project Completion,GET,GEF Trust Fund,National Energy Commision,Government,,,0,0,0,0,0,0,0,0,0,0,Dimitrios Zevgolis,,1320,,-6-,,,,,,,82400,,,82400,,,,,5985000,,5984900,5984900,382000,,,26330000,,26330000,27-Jun-01,,,1-Jul-00,1-Jul-00,,28-Jun-01,,,,,,,,29-Jun-01,,,,12-Sep-01,1-Dec-11,30-Jun-11,,,31-Dec-12,,,,,12-Sep-01,,,"LAC,"
642,UNDP,UNDP,,Asia,,Malaysia,,MY,Biodiversity,B,B,Conservation and Sustainable Use of Tropical Peat Swamp Forests and Associated Wetland Ecosystems,GEF - 2,FP,Full Size Project,Project Completion,GET,GEF Trust Fund,Ministry of Primary Industries,Government,,,0,0,0,0,0,0,0,0,0,1,,,522,,-2-,,,,,,,319300,,,319300,,,,,5990000,,5985000,5985000,,,,6670000,,7680000,,,7-May-99,7-May-99,7-May-99,,31-Oct-00,,,,,,,,7-Mar-01,,,,7-Mar-01,1-Jun-04,4-Feb-10,,,,,,,,7-Mar-01,,,"Asia,"
2632,IFAD/UNIDO,IFAD,UNIDO,AFR,,Morocco,,MA,Multi Focal Area,M,M;L;I;,MENARID: Participatory Control of Desertification and Poverty Reduction in the Arid and Semi Arid High Plateau Ecosystems of Eastern Morocco,GEF - 4,FP,Full Size Project,Under Implmentation,GET,GEF Trust Fund,"UNIDO, HCEFLCD, MARDMF",Multilateral,PAN,Child,0,0,0,0,0,0,0,0,0,1,Andrea Kutter,,,,,LD-2;IW-4;,;16;21;,,,,,350000,,,350000,,,,,6000000,,5998422,5998422,635000,,634842,19035165,,19089096,8-Oct-04,22-Jan-08,1-Apr-08,24-Apr-08,24-Apr-08,,16-Sep-08,,,,,,,,16-Oct-08,,,,14-Oct-10,1-Jul-15,,,,,,,,,,1-Apr-13,1-Jun-13,"AFR,"
3687,UNDP,UNDP,,AFR,,Madagascar,,MG,Biodiversity,B,B,Madagascar's Network of Managed Resource Protected Areas,GEF - 4,FP,Full Size Project,Under Implmentation,GET,GEF Trust Fund,"Ministry of Environment and Forests, assisted by NGOs Fanamby, ASITY, Missouri Bontanical Garden, World Wildlife fund (WWF) and others",Government,,,0,0,0,0,0,0,0,0,0,1,Jaime Cavelier,329964,4172,,,BD-3;,;3;,,,,,150390,150390,,,,,15039,,6000000,,5999611,5999611,600000,,599961,9075000,,8218401,20-May-08,20-May-08,1-Jun-08,28-Jul-08,28-Jul-08,,3-Nov-10,,,,,,,,,,,30-Jan-11,11-Aug-11,31-Aug-14,,,,,,,,,,30-Nov-12,,"AFR,"
109,World Bank,World Bank,,LAC,,Guyana,,GY,Biodiversity,B,B,Protected Areas System Phase 1,GEF - 1,FP,Full Size Project,Cancelled,GET,GEF Trust Fund,Environmental Protection Agency (EPA),Government,,,0,0,0,0,0,0,0,0,0,1,Mark Zimsky,,,37003,-3-,,,,,,,326000,,,326000,,,,,6000000,,6000000,6000000,,,,2100000,,9500000,,,1-Mar-97,1-Mar-97,1-Mar-97,,5-May-05,,10-May-06,,,,,,,,,,,,,,,,,,,,,,,"LAC,"
793,World Bank,World Bank,,AFR,,Benin,,BJ,Multi Focal Area,M,M,Program for the Management of Forests and Adjacent Lands,GEF - 2,FP,Full Size Project,Project Completion,GET,GEF Trust Fund,Ministry of Rural Development,Government,,,0,0,0,0,0,0,0,0,0,0,Andrea Kutter,,,69896,-12-,,,,,,,295000,,,295000,,,,,6000000,,6000000,6000000,825000,,,22000000,,16350000,27-Feb-06,,,1-May-00,1-May-00,,8-May-06,,,,,,,,29-Jun-06,,,,27-Mar-07,31-May-13,31-May-13,,,,,,,,,31-Dec-09,,"AFR,"
1091,World Bank,World Bank,,LAC,,Regional,Latin America and Caribbean,"00, 6L",Biodiversity,B,B,Building the Inter-American Biodiversity Information Network (IABIN),GEF - 3,FP,Full Size Project,Project Completion,GET,GEF Trust Fund,Organization of American States,Multilateral,,,0,0,0,0,0,0,0,0,0,1,Gonzalo Castro,,,77187,-1-2-3-4-,,,,,,,650000,,,650000,,,,,6000000,,6000000,6000000,1004000,,,30294803,,28930000,12-Apr-01,,1-Feb-04,22-Mar-04,22-Mar-04,,8-Jun-04,,,,,,,,29-Jun-04,,,,4-Oct-04,30-Sep-11,30-Sep-11,,,,,,,,4-Oct-04,31-Dec-09,,"LAC, REG,"
1152,IFAD,IFAD,,AFR,,Mali,,ML,Biodiversity,B,B,"Biodiversity Conservation and Participatory Sustainable Management of Natural Resources in the Inner Niger Delta and its Transition Areas, Mopti Region",GEF - 3,FP,Full Size Project,Project Completion,GET,GEF Trust Fund,IFAD,Multilateral,,,0,0,0,0,0,0,0,0,0,1,Andrea Kutter,,,,-1-2-12-13-15-,,,,,,,326000,,,326000,,,,,6000000,,6000000,6000000,747240,,,13590000,,14240000,23-Jun-03,,1-Jul-03,25-Aug-03,25-Aug-03,,10-Mar-05,,,,,,,,30-May-06,,6-Jun-06,,28-Apr-08,31-Jul-13,31-Jul-13,,,,,,,,6-Jun-06,31-Dec-11,18-Apr-11,"AFR,"
1258,UNEP,UNEP,,REG,"AFR, Asia, ECA",Regional,"Estonia, Gambia, Hungary, Lithuania, Mauritania, Niger, Nigeria, Senegal, Turkey, Tanzania, Yemen, South Africa","00, EE, HU, LT, MR, NE, NG, SN, GM, ZA, TZ, YE, TR",Biodiversity,B,B,Enhancing Conservation of the Critical Network of Sites of Wetlands Required by Migratory Waterbirds on the African/Eurasian Flyways.,GEF - 3,FP,Full Size Project,Project Completion,GET,GEF Trust Fund,UNOPS,Multilateral,,,0,0,0,0,0,0,0,0,0,0,Paz Valiente,,,,-2-,,,,,,,350000,,,350000,,,,,6000000,,6000000,6000000,421500,,,6765045,,6195229,8-Sep-05,,1-Nov-03,21-Nov-03,21-Nov-03,,14-Dec-05,,,,,,,,3-Apr-06,,,,1-Jun-06,1-Dec-10,1-Dec-10,,,31-Dec-11,,,,,3-Apr-06,,,"AFR, ECA, REG,"
1268,UNDP,UNDP,,AFR,,Zambia,,ZM,Biodiversity,B,B,Effective Management of the National Protected Areas System,GEF - 3,FP,Full Size Project,Project Completion,GET,GEF Trust Fund,"Dept. of Environment and Natural Resources, MTENR",Government,,,0,0,0,0,0,0,0,0,0,0,Mark Zimsky,,1937,,-1-2-3-,,,,,,,334000,,,334000,,,,,6000000,,6000000,6000000,572693,,,36010000,,35168000,,,1-Jul-04,27-Sep-04,27-Sep-04,,3-Aug-05,,,,,,,,30-Aug-05,,,,30-Aug-05,31-Dec-11,31-Dec-12,,,31-Dec-12,,,,,30-Aug-05,,,"AFR,"
1855,World Bank,World Bank,,AFR,,Chad,,TD,Multi Focal Area,M,M,Community-Based Ecosystem Management Project,GEF - 3,FP,Full Size Project,Project Completion,GET,GEF Trust Fund,Chad Ministry of Environment and Water,Government,,,0,1,0,0,0,0,0,0,0,0,Walter J. Lusigi,,,78138,-12-,,,,,,,250000,,,250000,,,,,6000000,,6000000,6000000,511000,,,46000000,,87920000,25-Sep-02,,1-May-04,21-May-04,21-May-04,,27-May-05,,,,,,,,28-Jun-05,,,,20-Jun-06,30-Dec-11,30-Dec-11,,,,,,,,20-Jun-06,31-Dec-09,,"AFR,"
1894,World Bank,World Bank,,AFR,,South Africa,,ZA,Climate Change,C,C,Renewable Energy Market Transformation (REMT),GEF - 3,FP,Full Size Project,Project Completion,GET,GEF Trust Fund,Dept. of Minerals and Energy (DME),Government,,,0,0,0,0,0,0,0,0,0,0,Zhihong Zhang,,,73322,-6-,,,,,,,0,,,,,,,,6000000,,6000000,6000000,540000,,,11300000,,11300000,16-May-03,,1-Feb-05,6-Apr-05,6-Apr-05,,7-Jun-07,,,,,,,,28-Jun-07,1-Jul-07,,,26-Sep-08,30-Sep-13,30-Sep-11,,,,,,,31-Oct-07,,31-Dec-11,23-May-11,"AFR,"
2102,World Bank,World Bank,,LAC,,Panama,,PA,Biodiversity,B,B,"Second Rural Poverty, Natural Resources Management and Consolidation of the Mesoamerican Biological Corridor Project",GEF - 3,FP,Full Size Project,Under Implmentation,GET,GEF Trust Fund,Autoridad Nacional del Ambiente (ANAM) -- National Environmental Authority,Government,,,0,0,0,0,0,0,0,0,0,0,Nicole Glineur,,,83045,-2-3-4-13-,,,,,,,275000,,,275000,,,,,6000000,,6000000,6000000,565000,,,44000000,,12100000,16-May-03,,1-Jun-05,8-Jun-05,8-Jun-05,,17-May-06,,,,,,,,15-Jun-06,,,,18-Jan-07,31-Jul-14,,,,,,,,,,31-Dec-11,29-Sep-11,"LAC,"
2103,World Bank,World Bank,,LAC,,Venezuela,,VE,Biodiversity,B,B,Expanding Partnerships for the National Parks System (resubmission),GEF - 3,FP,Full Size Project,Cancelled,GET,GEF Trust Fund,National Park Institute (Instituto Nacional de Parques - INPARQUES),Government,,,0,0,0,0,0,0,0,0,0,0,Mark Zimsky,,,85458,-3-4-12-,,,,,,,350000,,,350000,,,,,6000000,,6000000,6000000,571500,,,18520000,,18520000,16-May-03,,12-Jun-06,1-Aug-06,1-Aug-06,,,,14-Apr-08,,,,,,,,,,,,,,,,,,,,,,,"LAC,"
2263,UNDP,UNDP,,ECA,,Regional,"Bulgaria, Georgia, Romania, Russian Federation, Turkey, Ukraine","00, BG, GE, RO, RU, TR, UA",International Waters,I,I,"Control of Eutrophication, Hazardous Substances and Related Measures for Rehabilitating the Black Sea Ecosystem: Tranche 2",GEF - 3,FP,Full Size Project,Project Completion,GET,GEF Trust Fund,UNOPS,Multilateral,,,0,0,0,0,0,0,0,0,0,0,Alfred M. Duda,,3065,,-8-,,,,,,,0,,,,,,,,6000000,,6000000,6000000,382000,,,5332106,,5332106,5-Mar-04,,1-May-04,21-May-04,21-May-04,,18-Aug-04,,,,,,,,26-Jan-05,,,,26-Jan-05,31-Jul-07,30-Apr-08,,,,,,,,1-Nov-04,,,"ECA, REG,"
2459,World Bank,World Bank,,AFR,,Mauritania,,MR,Land Degradation,L,L,Community-based Watershed Management Project,GEF - 3,FP,Full Size Project,Project Completion,GET,GEF Trust Fund,"Ministry of Agriculture and Livestock, Mauritania, World Bank",Government,,,0,0,0,0,0,0,0,0,0,0,Andrea Kutter,,,87670,-15-,,,,,,,350000,,,350000,,,,,6000000,,6000000,6000000,571500,,,58600000,,58800000,30-Jan-04,,1-Feb-06,31-Mar-06,31-Mar-06,,25-May-06,,,,,,,,22-Jun-06,,,,26-Jan-07,30-Sep-11,30-Sep-11,,,,,,,,,31-Dec-09,,"AFR,"
2549,World Bank,World Bank,,AFR,,Cameroon,,CM,Land Degradation,L,L,Sustainable Agro-Pastoral and Land Management Promotion under the National Community Development Program Support Program (PNDP),GEF - 3,FP,Full Size Project,Project Completion,GET,GEF Trust Fund,"Ministry of Economic Affairs, Programming and Regional Development (GoC)",Government,,,0,0,0,0,0,0,0,0,0,0,Andrea Kutter,,,89289,-15-,,,,,,,350000,,,350000,,,,,6000000,,6000000,6000000,571500,,,92000000,,92000000,8-Feb-05,,1-Nov-05,10-Nov-05,10-Nov-05,,26-Apr-06,,,,,,,,6-Jun-06,,,,1-Dec-06,1-Mar-12,1-Mar-12,,,,,,,,,31-Dec-09,,"AFR,"
